,Rank,isIP,isValid,Domain_reg_len,is@,isRedirect,haveDash,SubDomain,Domain_http,LongURL,TinyURL,Label
0,0,0,1,0,0,0,0,1,0,0,0,0
1,1,0,0,1,0,0,0,1,0,0,0,1
2,0,0,1,0,0,0,0,0,0,0,0,0
3,1,0,1,0,0,0,0,0,0,0,1,0
4,1,0,0,1,0,0,1,0,0,0,0,0
5,0,0,1,0,0,0,0,1,0,0,0,0
6,1,0,1,0,0,0,0,1,0,0,0,1
7,1,0,1,0,0,0,0,0,0,1,0,0
8,0,0,0,1,0,0,0,1,0,0,0,0
9,0,0,0,1,0,0,0,1,0,1,0,0
10,1,0,1,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,1,0,0,0,1
12,1,0,1,0,0,0,0,1,0,0,0,0
13,1,0,1,0,0,0,0,1,0,0,1,0
14,1,0,0,1,0,0,0,1,0,0,0,0
15,1,0,1,0,0,0,0,0,0,0,0,0
16,1,0,0,1,0,0,0,1,0,1,0,1
17,1,0,1,0,0,0,0,1,0,0,0,1
18,1,0,1,0,0,0,0,0,0,0,0,0
19,0,0,1,0,0,0,0,1,0,1,0,0
20,1,0,0,1,0,0,1,1,0,1,0,1
21,0,0,1,0,0,0,0,0,0,0,0,0
22,1,0,0,1,0,0,0,1,0,1,0,1
23,1,0,1,0,0,0,0,1,0,0,0,1
24,1,0,0,1,0,0,0,1,0,0,1,1
25,1,0,1,0,0,0,0,1,0,0,0,1
26,0,0,1,0,0,0,0,0,0,1,0,0
27,0,0,1,0,0,0,0,1,0,0,1,0
28,1,0,0,1,0,0,0,0,0,1,0,1
29,1,0,1,0,0,0,0,1,0,0,0,0
30,1,0,1,0,0,0,0,1,0,0,0,0
31,1,0,1,0,0,0,0,1,0,1,0,1
32,1,0,1,0,0,0,0,0,0,1,0,0
33,0,0,1,0,0,0,1,0,0,1,0,1
34,1,0,1,0,0,0,0,1,0,1,0,1
35,0,0,1,0,0,0,1,1,0,1,0,1
36,1,0,0,1,0,0,0,1,0,1,0,1
37,1,0,0,1,0,0,1,1,0,1,0,1
38,1,0,1,0,0,0,0,0,0,0,0,0
39,1,0,0,1,0,0,0,0,0,1,0,1
40,1,0,1,0,0,0,0,0,0,0,0,0
41,1,0,0,1,0,0,0,0,0,1,0,1
42,1,0,0,1,0,0,0,1,0,1,0,1
43,1,0,1,0,0,0,0,1,0,0,0,0
44,0,0,1,0,0,0,1,1,0,1,0,1
45,1,0,0,1,0,0,0,0,0,0,0,1
46,1,0,1,0,0,0,0,1,0,1,0,1
47,1,0,1,0,0,0,0,1,0,0,0,0
48,0,0,1,0,0,0,0,0,0,0,0,0
49,1,0,0,1,0,0,0,1,0,1,0,1
50,0,0,1,0,0,0,0,1,0,0,0,0
51,1,0,0,1,0,0,0,1,0,0,0,1
52,1,0,0,1,0,0,0,1,0,0,0,0
53,0,0,1,0,0,0,0,1,0,0,0,0
54,1,0,0,1,0,0,0,1,0,1,0,1
55,0,0,1,0,0,0,0,0,0,1,0,1
56,1,0,1,0,0,0,0,1,0,0,0,0
57,0,0,1,0,0,0,0,1,0,0,0,1
58,1,0,1,0,0,0,0,1,0,0,0,1
59,1,0,0,1,0,0,0,1,0,1,0,1
60,1,0,1,0,0,0,0,0,0,1,0,1
61,1,0,0,1,0,0,0,1,0,0,0,0
62,1,0,1,0,0,0,0,0,0,0,0,0
63,1,0,0,1,0,0,0,1,0,1,0,1
64,0,0,1,0,0,0,0,0,0,0,0,0
65,1,0,1,0,0,0,0,1,0,1,0,1
66,1,0,1,0,0,0,0,0,0,0,0,0
67,1,0,0,1,0,0,0,0,0,0,0,0
68,1,0,1,0,0,0,0,1,0,0,0,0
69,1,0,1,0,0,0,0,0,0,0,1,0
70,1,0,1,0,0,0,0,0,0,0,1,0
71,1,0,0,1,0,0,0,0,0,1,0,1
72,1,0,0,1,0,0,0,0,0,1,0,1
73,1,0,1,0,0,0,0,0,0,0,0,0
74,1,0,0,1,0,0,0,1,0,1,0,1
75,1,0,1,0,0,0,0,1,0,0,0,0
76,0,0,1,0,0,0,0,0,0,0,0,1
77,1,0,1,0,0,0,0,1,0,1,0,1
78,1,0,0,1,0,0,0,0,0,0,0,0
79,1,0,1,0,0,0,0,0,0,0,0,1
80,1,0,1,0,0,0,0,1,0,1,0,1
81,1,0,1,0,0,0,1,1,0,0,0,1
82,1,0,0,1,0,0,1,1,0,1,0,1
83,1,0,1,0,0,0,0,1,0,1,0,1
84,0,0,1,0,0,0,0,1,0,0,0,0
85,1,0,0,1,0,0,0,1,0,0,0,1
86,0,0,1,0,0,0,0,0,0,0,0,0
87,1,0,0,1,0,0,1,1,0,0,0,1
88,0,0,0,1,0,0,0,0,0,0,0,0
89,0,0,0,1,0,0,0,1,0,0,0,0
90,0,0,0,1,0,0,1,1,0,0,0,0
91,1,0,1,0,0,0,0,0,0,1,0,1
92,1,0,0,1,0,0,0,0,0,0,0,1
93,1,0,1,0,0,0,0,1,0,0,0,0
94,1,0,1,0,0,0,0,1,0,0,0,0
95,1,0,0,1,0,0,1,1,0,0,0,0
96,0,0,1,0,0,0,0,0,0,0,0,0
97,1,0,1,0,0,0,0,1,0,1,0,1
98,1,0,1,0,0,0,0,0,0,0,0,1
99,1,0,0,1,0,0,0,0,0,0,0,1
100,1,0,0,1,0,0,0,1,0,0,0,0
101,1,0,0,1,0,0,1,1,0,1,0,1
102,0,0,1,0,0,0,0,0,0,0,0,0
103,0,0,1,0,0,0,1,0,0,0,0,1
104,1,0,0,1,0,0,1,1,0,1,0,1
105,1,0,0,1,0,0,0,1,0,0,0,1
106,1,0,0,1,0,0,0,1,0,1,0,1
107,1,0,0,1,0,0,0,0,0,0,0,0
108,1,0,0,1,0,0,0,1,0,0,0,1
109,0,0,1,0,0,0,0,0,0,0,0,0
110,0,0,0,1,0,0,0,1,0,0,0,0
111,0,0,1,0,0,0,1,1,0,1,0,1
112,1,0,0,1,0,0,0,0,0,0,0,1
113,1,0,0,1,0,0,0,0,0,1,0,1
114,1,0,1,0,0,0,0,1,0,0,0,0
115,1,0,0,1,0,0,0,0,0,0,0,1
116,1,0,0,1,0,0,0,1,0,1,0,1
117,1,0,1,0,0,0,0,1,0,1,0,1
118,1,0,1,0,0,0,0,1,0,1,0,1
119,1,0,0,1,0,0,0,0,0,0,0,1
120,1,0,1,0,0,0,1,1,0,1,0,1
121,1,0,1,0,0,0,0,1,0,0,0,1
122,1,0,0,1,0,0,0,1,0,0,0,1
123,1,0,0,1,0,0,0,1,0,1,0,1
124,0,0,1,0,0,0,0,0,0,0,0,0
125,1,0,1,0,0,0,1,0,0,1,0,0
126,0,0,1,0,0,0,0,1,0,0,0,0
127,0,0,1,0,0,0,0,1,0,1,1,0
128,0,0,0,1,0,0,0,1,0,0,0,0
129,0,0,1,0,0,0,0,0,0,0,0,0
130,0,0,1,0,0,0,0,0,0,0,0,0
131,1,0,1,0,0,0,0,1,0,0,0,0
132,1,0,0,1,0,0,0,1,0,0,0,1
133,0,0,1,0,0,0,1,1,0,1,0,1
134,1,0,0,1,0,0,0,1,0,0,0,1
135,0,0,1,0,0,0,0,0,0,0,0,0
136,1,0,1,0,0,0,0,1,0,1,0,1
137,1,0,1,0,0,0,0,1,0,1,0,1
138,1,0,1,0,0,0,1,0,0,0,0,0
139,0,0,1,0,0,0,0,1,0,0,0,0
140,0,0,0,1,0,0,0,0,0,0,0,0
141,1,0,1,0,0,0,0,0,0,0,0,0
142,0,0,1,0,0,0,0,1,0,0,0,0
143,1,0,0,1,0,0,0,1,0,1,0,1
144,1,0,1,0,0,0,0,0,0,0,0,0
145,1,0,0,1,0,0,0,1,0,1,0,1
146,1,0,0,1,0,0,1,1,0,0,0,1
147,1,0,1,1,0,0,1,1,0,0,0,1
148,1,0,1,0,0,0,0,0,0,1,0,1
149,1,0,0,1,0,0,0,1,0,0,0,0
150,1,0,1,0,0,0,0,0,0,0,0,1
151,0,0,1,0,0,0,1,1,0,1,0,1
152,0,0,1,0,0,0,0,1,0,0,0,0
153,1,0,0,1,0,0,0,0,0,1,0,1
154,1,0,0,1,0,0,0,1,0,0,0,1
155,1,0,1,0,0,0,0,1,0,0,0,0
156,1,0,1,0,0,0,0,1,0,0,0,0
157,0,0,1,0,0,0,0,0,0,0,0,0
158,1,0,1,0,0,0,0,1,0,0,0,0
159,1,0,0,1,0,0,0,0,0,1,0,1
160,1,0,0,1,0,0,1,1,0,1,0,1
161,1,0,1,0,0,0,0,0,0,0,0,0
162,0,0,0,1,0,0,1,0,0,0,0,0
163,0,0,1,0,0,0,0,0,0,0,0,0
164,0,0,0,1,0,0,1,0,0,0,0,0
165,0,0,0,1,0,0,0,0,0,0,0,0
166,1,0,0,1,0,0,1,1,0,0,0,1
167,0,0,1,0,0,0,0,1,0,0,0,0
168,1,0,1,0,0,0,0,1,0,0,0,1
169,1,0,1,0,0,0,0,0,0,0,0,1
170,1,0,1,0,0,0,0,0,0,0,0,0
171,1,0,1,0,0,0,0,0,0,1,0,1
172,1,0,1,0,0,0,0,1,0,0,0,0
173,0,0,1,0,0,0,1,1,0,1,0,1
174,0,0,0,1,0,0,1,1,0,1,0,0
175,1,0,0,1,0,0,1,0,0,1,0,1
176,1,0,0,1,0,0,0,1,0,0,0,1
177,1,0,0,1,0,1,0,0,0,0,0,1
178,1,0,1,0,0,0,0,1,0,1,0,1
179,1,0,1,0,0,0,0,1,0,0,0,0
180,1,0,0,1,0,0,0,0,0,1,0,1
181,1,0,1,0,0,0,0,1,0,0,0,0
182,1,0,0,1,0,0,1,1,0,1,0,1
183,1,0,0,1,0,0,0,0,0,0,0,1
184,1,0,1,0,0,0,0,1,0,0,0,0
185,1,0,0,1,0,0,0,1,0,0,0,0
186,1,0,0,1,0,0,0,1,0,0,0,1
187,1,0,1,0,0,0,1,0,0,0,0,1
188,0,0,1,0,0,0,1,1,0,1,0,1
189,1,0,1,0,0,0,0,0,0,0,1,0
190,1,0,1,0,0,0,0,1,0,1,0,1
191,0,0,1,0,0,0,0,0,0,0,0,0
192,1,0,0,1,0,0,0,1,0,0,0,1
193,0,0,1,0,0,0,0,1,0,0,0,0
194,1,0,1,0,0,0,0,0,0,0,1,0
195,1,0,1,0,0,0,0,1,0,1,0,1
196,0,0,1,0,0,0,0,1,0,1,0,1
197,1,0,1,0,0,0,0,0,0,0,0,1
198,0,0,1,0,0,0,0,0,0,0,0,0
199,0,0,1,0,0,0,0,1,0,0,0,0
200,0,0,1,0,0,0,0,0,0,1,0,1
201,1,0,0,1,0,0,0,1,0,1,0,1
